#Obh2   Om    Ol     w0     wa   ns     As     si8    h

0.0227 0.923 0.077 -1.060 0.000 0.960 2.41e-09 1.259 0.700
0.0227 0.050 0.950 -2.425 0.000 0.960 2.41e-09 0.990 0.700
0.0227 0.223 0.777 -3.080 0.000 0.960 2.41e-09 0.962 0.700
0.0227 0.098 0.902 -1.820 0.000 0.960 2.41e-09 1.245 0.700
0.0227 0.818 0.182 -4.800 0.000 0.960 2.41e-09 0.863 0.700
0.0227 0.866 0.134 -3.385 0.000 0.960 2.41e-09 0.227 0.700
0.0227 0.760 0.240 -3.485 0.000 0.960 2.41e-09 1.076 0.700
0.0227 0.654 0.346 -0.810 0.000 0.960 2.41e-09 0.892 0.700
0.0227 0.520 0.480 0.000 0.000 0.960 2.41e-09 0.624 0.700
0.0227 0.184 0.816 -4.645 0.000 0.960 2.41e-09 0.807 0.700
0.0227 0.837 0.163 -3.790 0.000 0.960 2.41e-09 1.387 0.700
0.0227 0.933 0.067 -0.910 0.000 0.960 2.41e-09 1.004 0.700
0.0227 0.270 0.730 -2.120 0.000 0.960 2.41e-09 1.104 0.700
0.0227 0.904 0.096 -2.830 0.000 0.960 2.41e-09 1.273 0.700
0.0227 0.405 0.595 -2.930 0.000 0.960 2.41e-09 0.383 0.700
0.0227 0.251 0.749 -4.445 0.000 0.960 2.41e-09 1.317 0.700
0.0227 0.808 0.192 -2.980 0.000 0.960 2.41e-09 0.722 0.700
0.0227 0.443 0.557 -4.395 0.000 0.960 2.41e-09 1.373 0.700
0.0227 0.060 0.941 -3.285 0.000 0.960 2.41e-09 0.751 0.700
0.0227 0.712 0.288 -2.880 0.000 0.960 2.41e-09 1.472 0.700
0.0227 0.684 0.316 -2.220 0.000 0.960 2.41e-09 0.482 0.700
0.0227 0.674 0.326 -4.950 0.000 0.960 2.41e-09 0.610 0.700
0.0227 0.876 0.124 -4.495 0.000 0.960 2.41e-09 0.524 0.700
